	Province/State	Country/Region	Lat	Long	3/10/20	3/11/20	3/12/20	3/13/20	3/14/20	3/15/20	3/16/20	3/17/20	3/18/20	3/19/20	3/20/20	3/21/20	3/22/20	3/23/20	3/24/20	3/25/20	3/26/20	3/27/20	3/28/20	3/29/20	3/30/20	3/31/20	4/01/20	4/02/20	4/03/20	4/04/20	4/05/20	4/06/20	4/07/20	4/08/20	4/09/20	4/10/20	4/11/20	4/12/20	4/13/20	4/14/20	4/15/20	4/16/20	4/17/20	4/18/20	4/19/20	4/20/20	4/21/20	4/22/20	4/23/20
45	Florida	US	30.61359259	-85.66002461	13	26	33	48	73	111	150	210	307	408	553	646	991	1209	1394	1659	2328	2865	3709	4190	5410	6656	6869	8844	10098	11342	12129	13088	14262	15147	16010	17141	18056	19434	20520	21057	21915	22675	24034	24744	25540	26237	27002	27416	28661
46	Maine	US	43.47808377	-70.71052375	0	0	0	1	3	12	17	32	42	52	56	70	89	107	118	142	155	167	210	250	272	298	298	369	423	446	460	489	507	523	544	569	597	614	679	715	746	769	798	815	833	840	852	868	893
47	Pennsylvania	US	39.9210089	-76.73040131	12	16	22	41	47	66	77	112	152	205	302	394	505	692	938	1245	1777	2323	2811	3391	4105	4900	5935	7178	8468	10308	11438	12948	14606	16313	17955	19633	21216	22381	23703	24774	25974	27417	28967	30610	31626	32566	33635	34409	36655
48	Arizona	US	32.76895712	-113.90666740000002	5	8	8	8	11	12	17	19	27	45	78	117	150	233	321	395	500	652	758	902	1137	1265	1501	1683	1896	2135	2422	2667	2797	2956	2929	3015	3285	3427	3583	3678	3822	4087	4342	4544	4749	4877	5048	5242	5523
49	Montana	US	45.93955949	-108.26914860000001	0	1	1	1	5	7	7	9	11	11	15	21	34	34	51	65	90	108	128	153	166	193	202	235	238	259	280	293	313	326	348	359	371	381	387	392	397	408	414	416	423	423	425	425	428
50	South Dakota	US	43.00924485	-97.39467635	0	7	7	7	8	8	9	10	10	10	13	13	20	27	29	40	45	57	67	89	100	107	127	163	185	210	238	284	314	387	441	530	620	724	862	982	1162	1304	1404	1535	1628	1678	1747	1849	1947
51	Tennessee	US	36.15496772	-86.29775884	7	9	18	26	32	39	52	74	79	154	233	370	503	612	770	913	1094	1312	1504	1712	1903	2368	2909	2977	3026	3272	3580	3737	4067	4283	4540	4793	5026	5402	5501	5703	5703	6239	6122	6447	6922	7086	7237	7237	8095
52	Diamond Princess	US			46	46	46	46	46	46	47	47	47	47	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49
53	Colorado	US	40.00346839	-102.4258673	15	34	45	49	100	130	159	158	182	273	359	386	585	697	715	1005	1411	1406	1709	2260	2264	2897	2913	3262	3645	4077	4810	5033	5250	5462	5462	5976	6263	7018	7385	7623	7628	7931	8319	8658	9310	9310	9990	10385	10726
54	Kentucky	US	38.04178222	-84.7417556	6	8	10	14	14	20	19	24	26	35	45	84	100	119	158	192	242	294	371	429	468	617	614	739	736	877	910	910	1084	1084	1268	1603	1603	1866	1905	1942	2095	2306	2385	2563	2814	2896	3033	3193	3288
55	New Jersey	US	40.85951833	-74.99556527	14	22	28	28	68	96	175	263	264	733	879	1311	1894	2817	3631	4340	6795	8717	10984	13225	16438	18429	21900	25053	29249	33278	36588	40087	43184	45933	49318	52656	55968	59500	62141	66019	67874	71799	74627	77350	80939	84226	87634	90764	94599
56	Guam	US	13.4443	144.7937	0	0	0	0	0	3	3	3	5	12	14	15	26	28	31	36	44	50	54	55	57	67	74	79	80	89	108	109	117	117	124	126	128	128	128	128	130	130	131	131	131	131	131	131	134
57	New Mexico	US	34.71669834	-106.8103733	0	3	5	10	10	13	17	23	23	35	43	43	57	83	100	112	112	135	207	235	235	311	335	382	524	524	658	745	863	889	849	1064	1072	1219	1236	1314	1448	1448	1553	1745	1790	1913	1913	2139	2301
58	Arkansas	US	35.00292371	-93.41171338	0	1	6	6	12	16	22	22	33	62	96	122	165	192	217	278	333	378	404	420	466	515	574	631	692	729	821	859	928	982	1098	1150	1203	1253	1381	1466	1536	1583	1658	1706	1742	1932	1948	2234	2554
59	Utah	US	41.27116049	-111.9145117	2	3	5	9	10	28	39	51	51	80	78	136	161	256	297	339	395	471	601	718	794	883	883	1085	1248	1427	1600	1672	1733	1842	1843	2086	2189	2285	2350	2399	2528	2663	2770	2892	3042	3185	3265	3413	3577
60	Wisconsin	US	44.45537896	-90.04158336	2	5	7	18	26	31	46	71	92	159	204	278	377	420	476	614	718	912	1038	1146	1210	1387	1529	1710	1961	1976	2246	2371	2486	2610	2775	2940	3076	3197	3274	3385	3538	3678	3847	3987	4126	4269	4381	4597	4794
61	California	US	39.26255932	-121.35356440000001	140	172	211	272	329	414	544	680	738	934	1154	1340	1616	2069	2488	2933	3818	4563	4985	5728	6992	8037	9200	10535	11739	12548	14686	15639	16919	18402	19166	20498	21102	22155	23217	24589	25826	26721	28120	29351	30254	32461	34183	35923	38028
62	Idaho	US	44.45275475	-116.78476880000001	0	0	0	1	2	5	5	8	9	11	23	36	42	68	81	91	143	202	230	276	334	507	557	767	882	1012	1068	1091	1157	1195	1214	1330	1371	1380	1399	1431	1434	1546	1568	1612	1624	1627	1688	1715	1782
